file_name,pesq noisy,h4d5 trained on all,h8d5 trained on all,h12d5 trained on all,h24d5 trained on all,h48d5 trained on all,h4d5 transfer on metro_station,h8d5 transfer on metro_station,h12d5 transfer on metro_station,h24d5 transfer on metro_station,h48d5 transfer on metro_station
SNRdb10_p360_275_1209,1.3325971364974976,1.7476214170455933,1.7400734424591064,1.83456552028656,2.0234146118164062,1.9584643840789795,1.8336576223373413,1.8869397640228271,2.020671844482422,2.1371631622314453,1.9939789772033687
SNRdb20_p249_139_1209,2.109769582748413,2.556194543838501,2.823293447494507,2.682989835739136,2.8447611331939697,2.9217982292175293,2.671194076538086,2.7246346473693848,2.9738543033599854,2.9784069061279297,2.889882802963257
SNRdb0_p281_305_1225,1.1231050491333008,1.1324777603149414,1.1364220380783079,1.1428518295288086,1.2240324020385742,1.2321369647979736,1.218533277511597,1.262511968612671,1.3158432245254517,1.3171494007110596,1.273561954498291
SNRdb5_p298_282_1225,1.1517677307128906,1.2842435836791992,1.4251141548156738,1.3160363435745241,1.6187031269073486,1.8913030624389648,1.3591676950454712,1.778818130493164,1.9053071737289429,1.7989683151245115,1.7419848442077637
SNRdb10_p299_307_1225,1.2545784711837769,1.9832355976104736,2.48085880279541,2.11924409866333,2.3477578163146973,2.6063451766967773,1.8145036697387693,2.501747131347656,2.4991533756256104,2.5897092819213867,2.1966114044189453
SNRdb20_p306_137_1225,1.992616415023804,2.100055932998657,2.4265377521514893,2.59696888923645,2.478121757507324,2.8082215785980225,2.136425018310547,2.369891166687012,2.8048369884490967,2.413482904434204,2.467634677886963
SNRdb0_p339_320_1241,1.2230788469314575,1.8497481346130369,2.2684643268585205,1.9307591915130613,2.0599322319030757,1.776193618774414,1.9193060398101809,2.212188720703125,2.3642144203186035,2.1155745983123784,1.6852874755859375
SNRdb5_p281_151_1241,1.6581679582595823,1.9507098197937007,2.362351894378662,2.1942672729492188,2.4466261863708496,2.239375352859497,2.223400115966797,2.4390640258789062,2.411391019821167,2.4740831851959233,2.223587274551392
SNRdb10_p306_284_1241,1.4101842641830444,2.036163806915283,2.1102991104125977,2.11863112449646,2.0488238334655757,2.356680631637573,2.38128662109375,2.0849323272705083,2.289724349975586,2.2280542850494385,2.202941656112671
SNRdb20_p299_386_1241,2.8193325996398926,3.2395780086517334,2.945390462875366,3.0301430225372314,2.956019639968872,3.1639313697814937,3.261033535003662,3.0712690353393555,3.297145366668701,3.3822841644287114,3.35144305229187
SNRdb0_p299_287_1264,1.094082236289978,1.2194186449050903,1.3490928411483765,1.350007176399231,1.4204338788986206,1.4455723762512207,1.3502628803253174,1.4129226207733154,1.5603420734405518,1.451404094696045,1.4969336986541748
SNRdb5_p249_024_1264,1.1150472164154053,1.380677580833435,1.494964361190796,1.4234663248062134,1.4404878616333008,1.7527565956115725,1.4478076696395874,1.571868896484375,1.7002816200256348,1.6093933582305908,1.7806190252304075
