file_name,pesq noisy,h4d5 trained on all,h8d5 trained on all,h12d5 trained on all,h24d5 trained on all,h48d5 trained on all,h4d5 transfer on car,h8d5 transfer on car,h12d5 transfer on car,h24d5 transfer on car,h48d5 transfer on car
SNRdb5_p360_387_1310,1.7520184516906738,2.6030490398406982,2.69187068939209,2.606508493423462,2.795506715774536,3.063628673553467,3.08444619178772,3.1537044048309326,3.105940341949463,2.977130889892578,3.058532238006592
SNRdb10_p299_396_1310,1.7764787673950195,2.671450138092041,2.7323873043060303,2.9141948223114014,2.8768389225006104,2.907434225082397,3.2747817039489746,3.3602209091186523,3.247283458709717,3.4799957275390625,3.2996139526367188
SNRdb20_p339_392_1310,2.7476511001586914,3.470496416091919,3.258989095687866,3.4041211605072017,3.4730899333953857,3.733520984649658,3.877262592315674,3.9505300521850586,3.6264162063598633,3.95737361907959,3.9531252384185787
SNRdb0_p299_300_1324,1.622042894363403,2.654125213623047,2.027971744537353,1.863858819007873,2.179161548614502,1.96111798286438,2.6672582626342773,3.0113320350646973,2.82061505317688,2.615283250808716,2.603215456008911
SNRdb5_p249_132_1324,1.6894826889038086,2.67350172996521,3.133965253829956,3.110503673553467,3.2254014015197754,3.248896598815918,3.414859771728516,3.5259482860565186,3.2189855575561523,3.3890326023101807,3.3377764225006104
SNRdb10_p281_181_1324,2.7435071468353267,3.1696887016296387,3.483919382095337,3.448476552963257,3.432331323623657,3.111550092697144,3.699987411499024,3.6306657791137695,3.593348264694214,3.617061138153076,3.488039493560791
SNRdb20_p360_018_1324,3.4186935424804688,3.1713054180145264,3.1362881660461426,3.5745129585266118,3.4121489524841313,3.068322896957397,3.847236156463623,3.658519506454468,3.901339292526245,3.8599457740783687,3.337874174118042
SNRdb0_p246_172_1334,1.4515116214752195,2.3414082527160645,1.9480388164520264,2.589547634124756,2.811350584030152,2.646805047988892,2.491316318511963,2.88106369972229,2.9158852100372314,2.8658249378204346,2.972930431365967
SNRdb5_p281_296_1334,1.6022560596466064,2.898172616958618,2.8927397727966313,2.9238464832305913,2.6696510314941406,2.9524986743927,2.913288354873657,3.2511048316955566,3.1827483177185063,2.9249844551086426,2.9962310791015625
SNRdb10_p281_440_1334,2.7469701766967773,2.470829725265503,2.193454504013061,2.495867729187012,2.353886842727661,2.239673614501953,2.5869295597076416,2.476468086242676,2.453622817993164,2.215775489807129,2.1685900688171387
SNRdb20_p306_115_1334,2.497016191482544,3.352774381637573,3.4286868572235107,3.3388044834136963,3.5159666538238525,3.5811862945556636,3.8482630252838135,3.793917417526245,3.6113710403442383,3.8793301582336426,3.4527835845947266
SNRdb0_p249_160_1355,1.4058377742767334,2.3974609375,2.553900718688965,2.5803098678588867,2.4443390369415283,2.622328996658325,2.9475226402282715,2.980646133422852,2.675281286239624,2.936635732650757,2.8127212524414062
SNRdb5_p339_110_1355,1.7219877243041992,3.1182568073272705,3.3726820945739746,3.2594783306121826,3.2027013301849365,3.365381956100464,3.8399174213409424,3.722033262252808,3.301255226135254,3.4290311336517334,3.7000696659088135
SNRdb10_p298_300_1355,2.916661739349365,3.192213773727417,2.9654128551483154,3.3724029064178467,3.1638824939727783,3.320491313934326,3.412848711013794,3.0237140655517583,3.2654628753662114,3.353382110595703,3.3372619152069087
SNRdb20_p246_260_1355,3.803003072738648,3.5911691188812256,3.525828123092652,3.6150290966033936,3.69831919670105,3.519883871078491,3.945510149002075,3.889842748641968,4.005384922027588,3.8910415172576895,3.6117677688598633
SNRdb0_p246_227_137,1.2743897438049316,1.7021384239196775,2.026110410690308,1.7810769081115725,2.117145538330078,2.0598959922790527,2.1623647212982178,2.121876001358032,2.2411043643951416,2.209939956665039,2.2511060237884517
SNRdb5_p249_208_137,1.4362061023712158,2.0642452239990234,2.0827853679656982,2.303973197937012,2.3302552700042725,2.4631330966949463,2.484745979309082,2.580960988998413,2.502403974533081,2.70793890953064,2.5150957107543945
SNRdb10_p306_111_137,1.7995102405548096,2.644417524337769,2.91707444190979,2.844223737716675,3.1264128684997563,3.343094110488892,3.450291633605957,3.217254161834717,3.6085495948791504,3.617895603179932,3.6189789772033687
SNRdb20_p335_096_137,2.440972089767456,3.3422870635986333,3.438231945037842,3.50562047958374,3.099742889404297,3.800791501998901,3.7244372367858887,4.011504650115967,3.803828477859497,3.991899013519287,3.952610969543457
SNRdb0_p303_203_1425,1.1829912662506104,1.6667044162750244,1.6958886384963991,1.918771743774414,2.2546541690826416,2.026376724243164,1.7797465324401855,2.0464062690734863,1.8363258838653564,1.8601137399673464,2.1782240867614746
SNRdb5_p299_024_1425,1.4834121465682983,2.3006532192230225,2.4628124237060547,2.469793796539306,2.62314772605896,2.7811543941497803,2.4086484909057617,2.619568347930908,2.547699451446533,2.609480619430542,2.910807847976685
SNRdb10_p299_247_1425,1.8788670301437376,2.74951434135437,2.8625614643096924,2.724495887756348,2.7889883518218994,3.0758273601531982,2.710515022277832,2.7746167182922363,2.740638971328736,2.897528886795044,2.970472812652588
