file_name,pesq noisy,h4d5 trained on all,h8d5 trained on all,h12d5 trained on all,h24d5 trained on all,h48d5 trained on all,h4d5 transfer on city_center,h8d5 transfer on city_center,h12d5 transfer on city_center,h24d5 transfer on city_center,h48d5 transfer on city_center
SNRdb10_p343_389_1214,1.4550126791000366,2.4722580909729004,2.4407522678375244,2.737147331237793,2.5648512840271,2.9724555015563965,2.5083484649658203,2.807734251022339,2.9078516960144043,1.931414008140564,3.0219485759735107
SNRdb20_p360_005_1214,2.578558444976806,2.4168901443481445,2.2010416984558105,2.9078357219696045,2.067655086517334,2.6462173461914062,2.585866689682007,2.80930233001709,2.959144830703736,2.715893507003784,2.612649440765381
SNRdb0_p339_389_1219,1.1335393190383911,1.46316659450531,1.6231586933135986,1.4115124940872192,1.8443788290023804,1.965036511421204,1.4804021120071411,1.7223074436187744,1.8569414615631104,1.80007004737854,2.015566110610962
SNRdb5_p251_270_1219,1.198223114013672,1.6838009357452393,1.7017192840576172,1.7605985403060913,2.084205150604248,1.9577558040618896,2.0094954967498784,2.0802409648895264,2.0831341743469243,2.0105655193328857,2.2144689559936523
SNRdb10_p360_191_1219,2.1114542484283447,2.324972629547119,2.597454071044922,2.3740336894989014,2.7438831329345703,2.8449349403381348,2.4619150161743164,2.7501018047332764,2.911088705062866,2.858210802078247,2.7780702114105225
SNRdb20_p306_086_1219,2.437329769134521,2.836094617843628,2.705673933029175,2.8162157535552983,2.6303136348724365,2.391398429870605,2.7385292053222656,2.8539633750915527,2.78604507446289,2.740612268447876,2.395938873291016
SNRdb0_p360_243_1242,1.1023396253585815,1.2075414657592771,1.2201918363571167,1.257693886756897,1.237945795059204,1.3120625019073486,1.179243087768555,1.291911482810974,1.4115217924118042,1.4737262725830078,1.527462363243103
SNRdb5_p343_204_1242,1.185300350189209,1.4897717237472534,1.5959906578063965,1.62666916847229,1.7171086072921753,1.724548578262329,1.6361753940582275,1.790212869644165,2.2773373126983643,1.7367148399353027,1.8713425397872925
SNRdb10_p360_275_1242,1.6815979480743408,2.1945726871490483,2.4592719078063965,2.354822874069214,2.570883512496948,2.5266897678375244,2.423395156860352,2.4066402912139893,2.322776556015014,2.698552370071411,2.5760295391082764
SNRdb20_p249_139_1242,2.5361244678497314,3.066723346710205,2.9802477359771733,3.093557596206665,3.068564176559448,3.326986074447632,3.146791219711304,3.3606173992156982,3.4352169036865234,3.0118989944458012,3.2860426902771
SNRdb0_p281_305_1244,1.0356682538986206,1.1683928966522217,1.218705415725708,1.2010498046875,1.3090665340423584,1.36162531375885,1.188029646873474,1.289452075958252,1.3107739686965942,1.4274237155914309,1.4316259622573853
SNRdb5_p298_282_1244,1.154371738433838,1.4754406213760376,1.4440760612487793,1.5378706455230713,1.74898099899292,2.002316951751709,1.6032576560974119,1.5829734802246094,1.891772508621216,2.3911538124084477,2.1540067195892334
SNRdb10_p299_307_1244,1.1996910572052002,2.134042739868164,2.7193615436553955,2.3333117961883545,2.497191905975342,2.6674160957336426,2.4308922290802,2.85464859008789,2.5007033348083496,2.689138889312744,2.7209153175354004
SNRdb20_p306_137_1244,2.0188336372375493,2.2319753170013428,2.595434188842773,2.7541277408599854,2.725163221359253,2.929763078689575,2.3993980884552,2.6896677017211914,2.9967827796936035,2.6100223064422607,2.946387767791748
SNRdb0_p339_320_1246,1.1760265827178955,2.086791038513184,2.098426342010498,1.8246626853942869,2.31960129737854,2.5265426635742188,2.2401084899902344,2.5135374069213867,2.332229852676392,1.6455881595611572,1.7027325630187988
SNRdb5_p281_151_1246,1.252888798713684,1.6197550296783447,1.7626078128814695,1.5684857368469238,2.088235378265381,2.145026445388794,1.657936930656433,1.7293899059295654,1.6593927145004272,1.886807918548584,2.1132831573486333
SNRdb10_p306_284_1246,1.3294782638549805,2.201037645339966,2.2458302974700928,1.9926936626434328,2.06089186668396,2.392219066619873,2.064309597015381,2.1855244636535645,2.2683119773864746,2.3367483615875244,2.39973521232605
SNRdb20_p299_386_1246,2.0266032218933105,2.733176946640014,2.3000588417053223,2.474838256835937,2.3579659461975098,2.6764163970947266,3.078434705734253,2.634241342544556,2.723017454147339,3.0233113765716557,2.6716396808624268
SNRdb0_p299_287_1254,1.0570125579833984,1.1712157726287842,1.2166566848754885,1.2558159828186035,1.32915198802948,1.3678120374679563,1.1443053483963013,1.288998007774353,1.296973466873169,1.2900903224945068,1.4184327125549316
SNRdb5_p249_024_1254,1.0626479387283323,1.3891855478286743,1.642871618270874,1.630683183670044,1.7410086393356323,1.7658433914184568,1.551288366317749,1.6236984729766846,1.678592085838318,1.601491093635559,1.8063130378723145
SNRdb10_p249_262_1254,1.68025004863739,2.129013061523437,2.5482542514801025,2.430194854736328,2.5326573848724365,2.916783094406128,2.465248107910156,2.694035768508911,2.861961841583252,2.6899313926696777,2.967026710510254
SNRdb20_p343_090_1254,1.4094356298446655,3.1032686233520512,2.8685543537139893,2.800292730331421,3.0523853302001958,2.002606153488159,3.2566280364990234,2.9034152030944824,3.2726805210113525,2.935002088546753,2.898809671401977
SNRdb0_p299_093_1278,1.1703112125396729,1.9703755378723145,1.7888301610946655,1.7064406871795654,2.0028951168060303,2.4658498764038086,1.8966035842895508,1.9493741989135744,2.2098066806793213,1.6066901683807373,2.376636505126953
SNRdb5_p360_387_1278,1.5830111503601074,1.5779926776885986,1.5644482374191284,2.1864330768585205,2.35060715675354,2.337785243988037,1.9699021577835083,1.9617072343826292,2.0979974269866943,2.2864041328430176,1.9776811599731443
SNRdb10_p299_396_1278,1.4280232191085815,2.670779228210449,3.0239477157592773,2.7346463203430176,2.4524154663085938,3.1090683937072754,2.897797107696533,2.887489557266236,3.06909704208374,2.705493450164795,3.0942251682281494
SNRdb20_p339_392_1278,2.750551700592041,3.3224568367004395,3.185590982437134,3.18131422996521,3.2588980197906494,3.3101007938385014,3.3721730709075928,3.3619203567504883,3.4187889099121094,3.335775136947632,3.368083238601685
SNRdb0_p299_300_1295,1.089242935180664,1.331066370010376,1.5434610843658447,1.339963436126709,1.423534274101257,1.76641583442688,1.474902868270874,1.6665811538696291,1.8916983604431152,1.4050127267837524,1.7952356338500977
SNRdb5_p249_132_1295,1.0856661796569824,1.3627150058746338,1.4311342239379885,1.5926166772842407,1.872485637664795,1.9968454837799072,1.5407609939575195,1.8117153644561768,2.0509557723999023,1.763277530670166,1.8270971775054927
SNRdb10_p281_181_1295,1.7751286029815674,1.7023562192916868,1.7975934743881226,2.359903335571289,1.7522435188293457,2.4958059787750244,2.3919360637664795,2.656904697418213,2.4416882991790767,2.366765260696411,2.38222336769104
SNRdb20_p360_018_1295,2.2499065399169917,2.500600576400757,2.495025873184204,2.7044341564178467,2.6407766342163086,3.0393340587615967,2.6732289791107178,2.6576521396636963,2.838643312454224,2.8353667259216313,2.7415847778320312
SNRdb0_p246_172_1302,1.0899319648742676,1.3069987297058103,1.277785062789917,1.3653645515441897,1.33823561668396,1.437675952911377,1.3871076107025146,1.5298268795013428,1.5483198165893557,1.4456980228424072,1.615992307662964
SNRdb5_p281_296_1302,1.3808060884475708,1.61761474609375,1.7407778501510618,1.6825764179229736,1.890736103057861,1.9542524814605715,1.6283873319625854,1.7573896646499634,1.7406129837036133,1.8741521835327148,1.9982054233551023
SNRdb10_p281_440_1302,1.2615889310836792,1.343008279800415,1.4788717031478882,1.3931812047958374,1.651221752166748,1.5976526737213137,1.379643201828003,1.5138490200042725,1.686186671257019,1.6683615446090698,1.618325114250183
SNRdb20_p306_115_1302,1.7296997308731081,2.4858219623565674,2.688600778579712,2.6130857467651367,2.594738006591797,2.223324775695801,2.5456366539001465,2.701228618621826,2.729243755340576,2.7067408561706543,2.541308641433716
SNRdb0_p249_160_1314,1.0415467023849487,1.1764099597930908,1.314760446548462,1.2615025043487549,1.451223850250244,1.632974624633789,1.2503581047058103,1.41577410697937,1.470403075218201,1.4981186389923096,1.5892057418823242
SNRdb5_p339_110_1314,1.0996965169906616,1.8069368600845337,2.0256917476654053,1.914832353591919,1.9927840232849119,2.210029602050781,1.861114263534546,2.1330957412719727,2.2077624797821045,2.1931347846984863,2.480769157409668
SNRdb10_p298_300_1314,1.6348044872283936,2.2169315814971924,2.2756476402282715,2.349861860275269,2.620561122894287,2.580729722976685,2.354008436203003,2.471493721008301,2.5858941078186035,2.64282488822937,2.608417272567749
SNRdb20_p246_260_1314,2.0814967155456543,2.8058767318725586,2.673877716064453,2.7923312187194824,2.7422800064086914,2.9564414024353027,2.8591787815093994,2.942143440246582,3.0952036380767822,2.820873737335205,2.7354469299316406
