file_name,pesq noisy,h4d5 trained on all,h8d5 trained on all,h12d5 trained on all,h24d5 trained on all,h48d5 trained on all,h4d5 transfer on grocery_store,h8d5 transfer on grocery_store,h12d5 transfer on grocery_store,h24d5 transfer on grocery_store,h48d5 transfer on grocery_store
SNRdb20_p298_047_497,2.565683364868164,2.5402731895446777,2.562582015991211,2.766752958297729,2.4660885334014893,2.7342326641082764,2.1812772750854488,2.1010453701019287,2.274768352508545,2.8504321575164795,2.525378465652466
SNRdb0_p339_098_529,1.0761542320251465,1.1308298110961914,1.1486774682998655,1.151849389076233,1.2618448734283447,1.3324010372161863,1.225989580154419,1.1615949869155884,1.3998489379882812,1.4196507930755615,1.6506600379943848
SNRdb5_p335_393_529,1.18388032913208,1.5015313625335691,1.4316060543060305,1.425801396369934,1.4210280179977417,1.6194295883178709,1.5505545139312744,1.5963404178619385,1.5384604930877686,1.770434856414795,1.9241559505462649
SNRdb10_p249_133_529,1.437746286392212,1.69231915473938,1.566232681274414,1.703818678855896,1.6999720335006714,1.899075269699097,1.9304457902908323,1.8177847862243648,1.9885594844818115,2.264467477798462,2.258839607238769
SNRdb20_p306_055_529,2.379058122634888,2.715169668197632,2.8279473781585693,2.852541208267212,2.836811780929565,2.8415470123291016,2.901857852935791,2.732978820800781,3.0934436321258545,2.9505057334899902,2.96757173538208
SNRdb0_p360_206_543,1.0893933773040771,1.193831205368042,1.502918004989624,1.2989590167999268,1.29790997505188,1.6833889484405518,1.3451321125030518,1.4077531099319458,1.5630326271057131,1.4844894409179688,1.3327150344848633
SNRdb5_p246_338_543,1.1933138370513916,1.318078637123108,1.3958361148834229,1.5027979612350464,1.497711181640625,1.57417893409729,1.416466474533081,1.4421218633651731,1.7038309574127195,1.7538189888000488,1.7302310466766355
SNRdb10_p360_141_543,1.8112986087799072,2.3918206691741943,2.2993741035461426,2.1920785903930664,2.2046751976013184,2.2576184272766118,1.827724933624268,2.390645265579224,2.369162082672119,2.332138061523437,2.3334755897521973
SNRdb20_p298_331_543,2.3472702503204346,2.8948748111724854,2.252546787261963,2.817974090576172,3.0258455276489262,3.065550804138184,2.5308661460876465,2.7740046977996826,3.033619165420532,3.1261770725250244,3.0094373226165767
SNRdb0_p298_042_550,1.0615581274032593,1.3349404335021973,1.3524633646011353,1.5244786739349363,1.6796653270721436,1.7442396879196167,1.3686556816101074,1.5243748426437378,1.7000656127929688,1.6966195106506348,1.7371220588684082
SNRdb5_p298_007_550,1.3043947219848633,1.6661946773529053,1.8426488637924197,1.8246564865112305,1.8131840229034424,2.069943904876709,1.6281232833862305,1.6732690334320068,1.788581609725952,2.1351804733276367,2.0446717739105225
SNRdb10_p343_042_550,1.2571649551391602,1.3975205421447754,1.8383945226669312,1.6409168243408203,1.6930488348007202,1.6448616981506348,1.5958210229873655,2.750652551651001,1.6632080078125,1.6588242053985596,1.5728703737258911
SNRdb20_p246_095_550,2.5103518962860107,2.779004573822021,2.678971529006958,2.9314680099487305,3.2045896053314213,3.1380820274353027,3.1126537322998047,3.1460590362548833,3.1042447090148926,3.119080781936645,3.139420986175537
SNRdb0_p281_151_588,1.248680830001831,1.3519946336746216,1.2514352798461914,1.3521566390991209,1.587801456451416,1.6766862869262695,1.6767816543579102,1.5950475931167605,1.6792820692062378,1.7640101909637451,2.0519547462463383
SNRdb5_p249_217_588,1.1624904870986938,1.4370954036712646,1.5878355503082275,1.56265127658844,1.6290202140808103,1.6602978706359863,1.689389944076538,1.7437297105789185,1.8060686588287356,1.899843692779541,1.8564250469207764
SNRdb10_p251_007_588,1.4481638669967651,2.0296280384063716,2.1110329627990723,2.1863446235656743,2.3478524684906006,2.567072629928589,2.0125272274017334,2.221529245376587,2.2077410221099854,2.710228443145752,2.605562686920166
SNRdb20_p335_115_588,2.6213514804840092,3.1770291328430176,3.306047916412353,3.4032692909240723,3.2917723655700684,3.4917492866516118,3.3698940277099614,2.9192280769348145,3.2685058116912837,3.137721300125122,3.286259412765503
SNRdb0_p306_358_594,1.0865297317504885,1.2219885587692259,1.3925052881240845,1.4011332988739014,1.5064048767089844,1.5868053436279297,1.3340673446655271,1.5820558071136477,1.6573565006256104,1.524134397506714,1.8487753868103027
SNRdb5_p298_130_594,1.3501548767089844,1.8224240541458132,1.7798691987991333,1.847373127937317,1.837048053741455,2.1289942264556885,1.7348585128784182,1.8583362102508545,2.1511549949646,2.2718684673309326,2.4789502620697017
SNRdb10_p299_302_594,1.4287481307983398,2.7387678623199463,2.781368494033813,2.557735681533813,2.8200831413269043,2.811270475387573,2.7256290912628174,2.5491585731506348,2.8750793933868413,2.8467676639556885,2.9581508636474614
SNRdb20_p360_236_594,2.317075490951538,2.9108612537384038,2.2728114128112797,2.844571590423584,2.31057071685791,2.851976156234741,2.3511171340942383,2.7905755043029785,2.7357702255249023,2.63081169128418,2.5588667392730717
SNRdb0_p306_024_612,1.0601434707641602,1.235735297203064,1.3037614822387695,1.288503646850586,1.3645155429840088,1.6148083209991455,1.2963078022003174,1.3866212368011477,1.4521664381027222,1.3951168060302734,1.5312142372131348
SNRdb5_p249_340_612,1.2335658073425293,1.453722596168518,1.7755675315856934,1.6584081649780271,1.7865844964981081,2.120445966720581,1.7161284685134888,1.7495392560958862,1.7797815799713137,2.069943189620972,2.066771507263184
SNRdb10_p339_347_612,1.391340732574463,2.4776690006256104,2.6946585178375244,2.529510021209717,2.6736924648284908,2.795954942703247,2.165475845336914,2.386441707611084,2.67586612701416,3.0226709842681885,2.8325750827789307
SNRdb20_p299_063_612,2.397836208343506,2.9791135787963867,2.9898874759674072,3.0792968273162837,3.4273598194122314,3.2113595008850098,2.638192176818848,3.016035795211792,3.071113586425781,2.961937665939331,3.006058692932129
